label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
4	-94 m^2	0.7498	ice hockey	hamster	894	1.3167	1215	1012	Biotechnology	1358	772	-0.2067	0.3258	461
5	434 m^2	0.8667	basketball	rabbit, rat	945	0.105	344	501	Applied Mathematics	994	-73	0.754	1.2347	829
2	828 m^2	1.1339	soccer	pig	53	1.0486	1192	947	Games and Playable Media	1005	1032	0.7697	1.4214	1218
0	928 m^2	-0.078	volleyball	reptile	88	1.5078	1440	250	Technology and Information Management	507	676	1.1667	1.3266	1107
0	1370 m^2	0.2907	badminton	reptile	-17	0.4212	959	237	Bioinformatics	819	169	0.2236	0.7865	971
2	1223 m^2	0.9133	soccer	pig	1017	1.4417	547	1206	Games and Playable Media	530	798	1.1188	1.1411	856
1	159 m^2	0.878	motor sports	cat	973	0.9931	984	1023	Robotics Engineering	666	552	0.6571	1.0164	885
3	498 m^2	0.3885	Baseball	guinea pig	1102	1.6698	593	1531	Computer Game Design	1238	n/a	0.9417	0.2251	1301
5	422 m^2	1.1559	running	rabbit	904	0.0852	1305	186	Electrical Engineering	921	347	0.5423	1.0609	660
1	338 m^2	0.7816	motor sports	cat	1056	1.1384	1229	235	Biotechnology	833	284	1.2099	1.3075	345
5	443 m^2	0.6226	soccer	ferret	902	-0.0304	611	454	Electrical Engineering	913	591	0.7186	N/A	668
4	-67 m^2	0.9091	ice hockey	reptile	1252	1.0762	1182	1262	Human Computer Interaction	588	915	0.6244	0.5125	480
0	956 m^2	-0.5648	badminton	guinea pig	548	0.7242	789	181	Bioinformatics	602	975	1.0117	0.963	1566
0	1131 m^2	-0.2306	badminton	reptile	-332	0.9722	1388	373	Technology and Information Management	584	568	0.9528	0.9259	800
5	630 m^2	1.0125	boxing	rat	1109	0.4262	788	210	Bioengineering	877	524	0.7113	0.8892	801
1	375 m^2	1.0175	motor sports	ferret	518	0.8705	862	1048	DATA SCIENCE	767	337	1.1358	0.9317	1027
1	500 m^2	0.5598	motor sports	ferret	798	0.5371	807	488	Robotics Engineering	973	675	0.7872	0.6691	1193
5	299 m^2	0.8853	motor sports	rabbit, dog	1412	0.3151	503	268	Natural Language Processing	950	923	0.5483	0.0584	606
2	977 m^2	0.4916	soccer	ferret	599	1.0706	-5	1326	Data Science	915	846	0.9589	1.0396	862
0	817 m^2	-0.4083	badminton	reptile	174	0.7782	1343	608	Bioengineering	519	676	1.0221	0.9932	995
3	535 m^2	0.5787	tennis	chicken	972	0.5886	268	938	Computer Engineering	1249	620	0.7042	0.3354	1245
1	-114 m^2	0.7939	motor sports	cat	798	0.9662	661	716	Biotechnology	371	470	0.9352	0.1422	1165
1	452 m^2	0.6063	motor sports	cat	1365	0.8253	1175	537	Biotechnology	1339	625	1.2268	0.3977	1212
4	330 m^2	1.0987	track & field	rat, dog	1101	1.3007	1351	868	Natural Language Processing	837	1062	-0.1421	0.8834	345
3	531 m^2	-0.0067	motor sports	fish	1348	0.5813	815	614	Computer Game Design	578	923	1.0058	0.3055	562
4	313 m^2	0.7752	track & field	hamster	1002	1.0465	1550	1378	Human Computer Interaction	693	1284	0.0597	0.956	255
3	1019 m^2	0.4333	tennis	chicken	739		461	1568	Computer Game Design	805	963	1.1929	0.7722	978
1	258 m^2	0.7358	motor sports	ferret	999	1.2092	645	1089	Statistics	425	194	1.5614	0.8941	1213
4	447 m^2	1.5489	Ice Hockey	hamster	673	0.7909	1730	697	human computer interaction	926	1209	0.1805	0.7918	343
3	640 m^2	0.363	baseball	fish	1124	1.3149	310	969	Computer Science	841	554	0.7711	0.2928	614
4	474 m^2	1.0071	golf	hamster	681	0.7583	1056	744	Technology and Information Management	824	1213	0.5001	1.3957	623
3	1091 m^2	0.4098	tennis	fish	1267	0.4242	637	1056	Computer Science	887	4	1.0513	0.9052	824
5	147 m^2	0.7398	motor sports	rat	997	0.0035	1098	-34	Bioengineering	947	228	0.6857	0.357	549
4	219 m^2	0.7244	golf	hamster	902	0.858	687	846	Human Computer Interaction	1075	772	0.6805	1.1296	484
0	1010 m^2	0.2822	volleyball	reptile	-199	n/a	729	-32	Technology and Information Management	-47	612	1.1155	0.6062	927
5	470 m^2	0.8847	basketball	rabbit, dog	902	0.1514	720	531	Bioengineering	729	199	0.9039	1.7393	1243
3	709 m^2	0.2287	baseball	chicken	693	1.0787	1348	779	cOMPUTATIONAL mEDIA	1086	587	1.0106	0.4344	748
0	818 m^2	0.0904	tennis	guinea pig	483	1.2069	981	579	Bioinformatics	660	825	0.9369	0.8071	871
2	621 m^2	0.4774	soccer	pig	553	1.2204	304	553	Games and Playable Media	1152	435	0.8083	1.4441	922
0	746 m^2	-0.117	volleyball	guinea pig	581	1.1275	680	386	Technology and Information Management	456	975	1.3585	1.1406	775
1	13 m^2	0.7602	baseball	cat	1345	0.4771	881	312	Robotics Engineering	947	233	0.86	1.9958	1085
5	294 m^2	1.2503	football	rabbit, rat	1122	0.2884	855	-7	Bioengineering	685	402	0.7401	0.3839	913
3	957 m^2	-0.0293	tennis	fish	562	0.6138	1101	590	Human Computer Interaction	1509	747	0.6566	0.8395	983
0	788 m^2	0.2234	badminton	reptile	120	0.7863	1298	48	Technology and Information Management	-242	1183	1.1223	0.6692	936
5	395 m^2	0.6103	boxing	rat, rabbit	587	-0.0946	449	-349	bioengineering	837	867	0.5703	0.7665	987
3	196 m^2	0.5404	tennis	chicken	1107	1.3824	545	995	Computer Science	1078	801	1.1006	0.2539	924
5	149 m^2	1.2034	football	rabbit, dog	1141	0.5065	792	-559	Applied Mathematics	773	588	0.912	0.9663	1067
3	241 m^2	0.2693	boxing		1343	0.4343	454	701	Computational Media	1216	746	0.7992	0.4912	1062
4	41 m^2	1.5443	track & field	hamster	767	1.234	1657	965	Human Computer Interaction	886	866	0.4263	0.9439	627
3	898 m^2	0.7151	baseball	fish	892	0.6419	431	971	Computer Game Design	528	866	0.4021	0.8098	554
5	804 m^2	0.8692	football	fish	1027	0.8808	645	-132	NATURAL LANGUAGE PROCESSING	1005	171	0.9732	0.7655	1041
1	274 m^2	0.5052	motor sports	cat	924	1.1035	1034	1001	Human Computer Interaction	809	515	1.106	1.1899	363
5	118 m^2	0.7916	basketball	rat	434	0.5429	1491	198	Bioengineering	737	527	0.5909	1.0577	965
5	674 m^2	1.2236	running	dog	962	0.3564	640	223	Applied Mathematics	1357	329	0.9263	0.7087	768
0	533 m^2	0.4107	basketball	reptile	None	1.2364	711	195	Biotechnology	-116	936	0.6346	1.278	1087
5	560 m^2	1.1602	basketball	rat, rabbit	1054	0.8136	860	72	Natural Language Processing	1149	891	1.0496	0.741	902
0	648 m^2	0.1163	motor sports	guinea pig	237	0.9922	1673	381	Bioinformatics	550	606	0.6901	0.8801	1113
2	866 m^2	1.2919	baseball	bird	432	1.1169	-574	1199	Games and Playable Media	1124	1097	0.9099	1.0848	748
5	879 m^2	0.8022	running	rat, dog	1138	0.4205	398	-993	Bioengineering	1563	470	0.6792	0.9467	865
3	1281 m^2	0.2694	baseball	chicken	741	0.3199	1061	368	Computer Game Design	1344	378	1.382	0.2905	950
0	189 m^2	0.102	badminton	reptile	417	1.2316	979	390	Technology and Information Management	-25	833	0.3311	0.9316	636
1	707 m^2	0.7673	motor sports	dog, rabbit	1514	1.4092	858	745	ROBOTICS ENGINEERING	950	428	0.7778	1.278	769
2	1260 m^2	0.9315	soccer	pig	750	1.0331	138	1138	Games and Playable Media	1345	839	0.9577	1.0782	908
4	-388 m^2	0.8388	soccer	hamster	878	0.9408	1286	1260	Human Computer Interaction	826	1174	0.1974	0.6244	537
0	910 m^2	-0.2604	volleyball	reptile	305	0.7538	1790	580	Technology and Information Management	509	840	1.1813	0.6974	1384
0	1176 m^2	0.0609	volleyball	GUINEA PIG	509	1.4865	1240	767	Bioinformatics	637	797	1.0549	0.9178	815
1	969 m^2	0.7944	motor sports	ferret	755	0.3864	942	100	Biotechnology	926	-514	1.0464	0.5315	971
5	805 m^2	0.959	BASKETBALL	rabbit, dog	1194	0.6292	?	232	nATURAL lANGUAGE pROCESSING	973	832	0.4779	1.0992	1203
4	477 m^2	1.0545	track & field	hamster	796	0.8439	1100	1504	Human Computer Interaction	1101	1323	-0.2633	1.4429	-99
2	1102 m^2	1.1863	soccer	pig	1219	1.4898	538	499	Data Science	1091	1026	1.3565	1.2614	858
1	141 m^2	0.6683	motor sports	ferret	998	0.8947	1164	524	Robotics Engineering	1280	190	0.6664	0.6658	665
1	510 m^2	0.7402	motor sports	ferret	960	0.2576	1338	526	Biotechnology	909	32	1.7022	1.361	694
1	442 m^2	0.7259	motor sports	cat	902	0.8772	761	525	Robotics Engineering	814	480	n/a	0.6297	1067
5	369 m^2	0.6186	football	cat	1734	0.4307	744	187	Bioinformatics	717	754	0.6945	0.9059	912
3	970 m^2	0.523	baseball	chicken	1180	1.2472	477	564	Computational Media	1095	1357	0.9359	0.2992	1417
4	237 m^2	0.7852	golf	hamster	803	0.3888	916	733	Robotics Engineering	1385	1144	0.0417	0.7147	240
5	514 m^2	1.0983	Running	dog, rat	875	0.6356	1277	-587	Applied Mathematics	1190	1074	0.6721	0.9793	1002
3	797 m^2	0.2225	TENNIS	chicken	1228	1.0478	1118	889	Computer Science	1162	1310	1.1494	0.29	1002
4	-205 m^2	1.0605	baseball	HAMSTER	1234	0.4793	903	728	Human Computer Interaction	1410	1091	0.0595	0.7213	392
4	-543 m^2	0.9826	ice hockey	hamster	826	1.2007	992	1159	Human Computer Interaction	635	931	0.0922	1.7693	129
0	807 m^2	-0.0168	badminton	Reptile	532	1.0192	1079	736	Data Science	813	961	0.6171	1.1409	391
5	446 m^2	0.6481	boxing	rabbit, dog	1185	0.9146	1468	189	Electrical Engineering	1023	433	0.7065	0.8346	658
0	1100 m^2	0.1856	badminton	reptile	313	0.8371	1391	N/A	Technology and Information Management	620	643	0.8993	0.9524	909
5	766 m^2	1.2935	boxing	rat, rabbit	944	0.1502	750	480	Applied Mathematics	918	350	0.9164	0.6587	1340
5	816 m^2	0.4426	basketball	dog, rabbit	1124	0.1084	1000	276	Natural Language Processing	1404	1234	1.0237	0.9286	1071
1	75 m^2	0.6405	motor sports	ferret	1215	0.8941	374	873	Biotechnology	1319	-20	1.5992	0.7903	986
4	450 m^2	1.0281	golf	hamster	1008	1.6867	578	951	Computer Game Design	1061	751	0.0328	0.7861	201
1	581 m^2	0.679	motor sports	cat	1142	0.9485	680	992	Statistics	1177	678	0.5411	0.9047	1358
3	926 m^2	0.6515	baseball	chicken	966	1.5181	336	1139	Computer Engineering	1013	485	1.1616	0.1285	959
5	185 m^2	1.2836	basketball	dog	1037	0.2287	739	-385	Bioengineering	1062	-128	0.4548	0.7062	1031
3	789 m^2	0.1171	baseball	fish	1254	0.582	1065	1557	Computational Media	948	1543	0.9885	0.2557	879
5	635 m^2	0.9103	tennis	rat	1127	0.0308	708	-561	Electrical Engineering	769	734	0.9608	1.0165	1004
4	6 m^2	0.6784	ice hockey	hamster	990	0.872	423	385	Human Computer Interaction	1124	886	0.7395	0.7023	365
5	317 m^2	1.2139	basketball	pig	759	0.5656	846	-645	Bioengineering	1006	1362	0.9162	0.4736	886
1	303 m^2	0.4062	motor sports	ferret	470	1.0721	634	366	Robotics Engineering	919	322	0.8728	0.8591	1035
1	454 m^2	0.4653	motor sports	ferret	758	0.6522	1279	-15	Biotechnology	1256	147	1.324	0.509	1232
1	229 m^2	0.9419	motor sports	cat	953	0.9479	541	561	Robotics Engineering	1116	300	1.0489	0.5726	883
2	1001 m^2	0.8441	soccer	pig	815	1.2458	-258	727	Games and Playable Media	879	1024	1.0395	0.5002	1296
4	-386 m^2	1.0208	Track & Field	hamster	743	0.7874	694	1359	Human Computer Interaction	781	907	0.4732	0.7782	209
1	420 m^2	0.8133	motor sports	ferret	1393	0.1913	824	1077	Bioinformatics	950	329	0.8137	0.8923	898
2	917 m^2	0.9534	soccer	pig	901	0.8638	-233	717	Data Science	1048	1337	0.8572	1.0583	574
2	513 m^2	0.751	soccer	pig	423	0.7551	-561	1199	Data Science	692	1133	0.6741	0.8206	1095
3	n/a	0.5918	baseball	chicken	923	0.9743	998	934	Computational Media	788	1156	0.9323	-0.1579	692
2	615 m^2	0.8942	soccer	bird	860	1.6151	-27	257	Data Science	1171	?	0.7884	1.0796	939
2	644 m^2	1.1606	soccer	pig	1055	0.8525	692	1161	Data Science	654	1038	0.81	1.0026	1419
0	653 m^2	0.2439	badminton	guinea pig	514	0.5408	422	504	Data Science	796	1127	1.2985	0.5911	1359
0	879 m^2	-0.1745	badminton	reptile	121	1.1166	594	964	Bioinformatics	764	?	1.4287	1.0544	686
1	486 m^2	0.8022	motor sports	ferret	897	1.0541	1833	228	Robotics Engineering	716	864	0.8109	1.0708	977
0	1070 m^2	-0.2146	volleyball	reptile	250	1.3292	826	472	Technology and Information Management	366	834	0.7039	0.7952	1086
0	815 m^2	-0.2222	volleyball	reptile	516	0.7421	1049	278	Technology and Information Management	474	505	1.0345	1.1856	847
2	1521 m^2	0.9373	soccer	bird	540	1.1591	-143	793	Data Science	1206	1453	0.6498	1.0099	710
2	1263 m^2	0.8845	soccer	pig	688	1.0193	4	958	Data Science	852	1004	0.8913	0.9346	522
0	633 m^2	0.0808	badminton	reptile	640	1.1991	975	304	bioinformatics	754	470	1.0551	0.8802	732
5	674 m^2	1.3009	running	rabbit	910	-0.0613	1170	205	Applied Mathematics	685	-70	0.8744	1.0555	1071
1	336 m^2	0.8717	motor sports	ferret	984	0.8875	920	437	Biotechnology	679	421	1.076	1.1444	935
2	908 m^2	1.1388	soccer	pig	1072	1.1604	344	1129	Games and Playable Media	969	730	0.7876	1.1273	1387
1	127 m^2	0.9471	soccer	cat	588	0.9192	714	714	Bioinformatics	389	672	0.9275	1.0158	579
2	408 m^2	0.9969	soccer	bird	1042	1.108	960	844	Data Science	875	819	1.0794	0.5811	1065
5	470 m^2	1.0167	boxing	dog, rabbit	932	0.3035	1133	438	Natural Language Processing	1190	727	0.9047	0.815	524
2	799 m^2	0.8694	soccer	pig	700	1.0686	69	728	games and playable media	1478	638	0.9518	1.2549	940
4	-57 m^2	0.7885	golf	hamster	1239	1.1836	1042	1010	Human Computer Interaction	766	930	n/a	1.0195	42
5	305 m^2	1.2593	football	dog	658	0.6345	886	640	Natural Language Processing	1299	425	0.8569	1.1271	935
1	92 m^2	0.6121	motor sports	rabbit	730	1.1067	1864	1733	Robotics Engineering	959	-8	0.7833	0.5347	691
2	1237 m^2	0.9658	soccer	fish	513	0.9568	-121	468	Data Science	580	936	0.6249	0.946	1068
0	940 m^2	-0.3488	badminton	guinea pig	391	1.3365	1030	509	Technology and Information Management	439	690	0.8956	0.2631	1214
3	218 m^2	0.3961	tennis	chicken	843	1.0364	989	975	Computational Media	621	746	N/A	?	963
1	771 m^2	0.7117	motor sports	cat	1108	1.1577	884	934	?	643	-56	0.7012	0.7626	865
5	559 m^2	0.737	basketball	rat	906	-0.0303	1032	-460	Applied Mathematics	1088	340	0.6115	0.412	1117
3	-56 m^2	0.0414	Tennis	fish	436	1.0671	997	1082	Computational Media	633	1319	1.1367	-0.0169	708
1	812 m^2	0.7876	motor sports	cat	911	0.9304	1174	880	Biotechnology	474	237	1.0532	0.562	1263
3	1146 m^2	0.603	?	chicken	1096	1.1247	480	664	Computer Engineering	937	1103	1.2882	0.6731	1070
3	72 m^2	0.2509	baseball	fish	846	1.01	266	1292	COMPUTATIONAL MEDIA	1158	968	0.7219	0.4102	1084
3	768 m^2	0.5359	baseball	chicken	1149	0.9098	67	908	Computer Game Design	1389	908	1.0608	0.2943	744
3	288 m^2	0.7416	baseball	chicken	1189	1.1756	693	1283	Computer Engineering	1062	1141	0.998	0.4133	931
1	303 m^2	0.3984	motor sports	ferret	1179	0.59	1029	1362	Biotechnology	616	588	0.934	0.4856	979
3	578 m^2	0.4078	baseball	fish	886	1.1227	816	534	Computational Media	1065	467	0.5859	0.6748	577
5	623 m^2	1.0748	running	reptile	899	0.5329	963	-196	Natural Language Processing	?	1403	0.5712	0.6536	975
4	65 m^2	0.5654	golf	hamster	1103	0.9267	700	948	Human Computer Interaction	1166	972	0.249	0.6407	839
3	840 m^2	0.3149	baseball	chicken	1139	1.1156	987	540	Computer Engineering	807	803	0.9123	0.6992	878
4	296 m^2	0.5759		hamster	672	1.0469	581	N/A	Human Computer Interaction	881	1133	-0.1834	1.4405	71
1	290 m^2	0.6018	motor sports	cat	1215	0.9706	1097	959	Robotics Engineering	642	459	1.0782	1.0106	1054
0	1010 m^2	0.0162	motor sports	reptile	841	0.9041	1411	221	Bioinformatics	610	689	1.0332	0.8596	1188
1	121 m^2	1.0126	motor sports	cat	595	1.1678	1119	662	Games and Playable Media	352	58	1.1655	1.0179	1070
3	602 m^2	0.3874	tennis	fish	959	1.1104	838	925	Computer Game Design	649	830	1.0254	0.3259	901
3	12 m^2	0.8078	baseball	fish	1035	1.0682	1186	561	Robotics Engineering	761	768	1.0367	0.0675	456
5	314 m^2	0.854	boxing	rat, dog	818	0.051	878	-132	Electrical Engineering	1020	509	0.6165	1.2912	910
5	441 m^2	0.9493	running	rat	1337	0.6528	711	227	Natural Language Processing	757	213	0.6152	1.3642	787
2	768 m^2	1.075	volleyball	pig	519	1.1657	415	1069	Data Science	1085	623	0.9437	1.1632	1198
0	786 m^2	-0.1619	volleyball	rabbit	475	0.642	897	228	Technology and Information Management	560	893	0.8418	1.1438	1120
4	187 m^2	0.8803	ice hockey	hamster	1284	0.6202	883	1504	Human Computer Interaction	825	370	0.4564	1.9099	507
0	704 m^2	0.3953	badminton	guinea pig	497	0.7167	1034	759	None	663	586	0.5918	1.2854	985
1	690 m^2	0.2418	motor sports	ferret	1194	1.1131	934	346	Data Science	841	791	0.7769	0.5675	1018
4	43 m^2	0.7991	Track & Field	hamster	1052	0.3466	807	696	Human Computer Interaction	962	868	0.2766	0.5796	268
1	172 m^2	0.3287	motor sports	FERRET	1246	1.2679	1071	684	Robotics Engineering	464	689	1.1375	0.5028	831
4	415 m^2	1.0046	golf	hamster	460	0.0817	1567	1131	Human Computer Interaction	903	1071	0.0994	1.2742	458
0	711 m^2	0.0186	volleyball	guinea pig	-210	0.9141	1453	221	Technology and Information Management	906	583	1.6846	1.117	1154
3	523 m^2	0.227	basketball	fish	678	1.1751	804	914	Computer Engineering	965	930	0.866	0.4748	885
2	855 m^2	1.5192	soccer	pig	1079	1.3796	348	421	Data Science	?	1140	0.5236	0.3791	1074
3	777 m^2	0.4972	tennis	fish	634	0.8152	611	1226	Computer Science	1140	1103	1.4712	0.1106	561
1	288 m^2	0.519	motor sports	chicken	939	1.4015	1062	661	Biotechnology	926	228	1.2388	0.9341	790
1	-221 m^2	0.6937	motor sports	cat	773	0.7976	1241	839	Biotechnology	1159	89	0.6104	1.2552	1250
2	1324 m^2	0.607	soccer	bird	1048	0.8882	895	747	Data Science	1069	1089	1.0565	0.7012	639
0	603 m^2	0.6313	badminton	guinea pig	188	1.3038	1396	384	Human Computer Interaction	614	978	0.988	0.5642	964
5	572 m^2	0.967	BOXING	rabbit	755	0.953	1039	33	Natural Language Processing	865	637	0.4794	0.7355	590
2	1070 m^2	0.9696	soccer	pig	710	1.2801	733	429	Data Science	935	808	0.5184	1.0344	951
0	387 m^2	0.4776	ice hockey	guinea pig	437	1.3915	1456	66	Technology And Information Management	781	387	1.0309	0.4154	1560
1	496 m^2	0.3411	motor sports	FERRET	922	0.4523	1158	242	Statistics	898	394	1.4797	0.553	1045
5	509 m^2	1.125	basketball	rabbit, rat	801	0.0894	592	188	Bioengineering	1294	792	1.28	0.2795	305
0	687 m^2	-0.0696	volleyball	guinea pig	239	1.244	1144	399	Computational Media	588	775	0.8857	1.6693	1379
4	-214 m^2	0.9502	track & field	hamster	550	0.8511	809	665	Technology and Information Management	897	1414	0.2399	0.6391	443
3	558 m^2	0.9529	tennis	chicken	1182	0.3814	578	991	Computational Media	686	752	0.7085	0.1062	333
3	586 m^2	0.1721	baseball	chicken	816	1.3862	1383	1268	Computer Game Design	586	877	0.9711	0.2996	518
5	198 m^2	0.9976	basketball	rat	977	1.1089	632	363	Games and Playable Media	1391	524	0.5711	1.0689	687
5	925 m^2	0.6855	football	rabbit	1244	0.8902	1284	-111	Bioengineering	643	381	0.4528	0.4065	643
3	758 m^2	0.5175	baseball	dog	671	0.4995	1627	1332	Computer Science	?	993	1.208	0.5149	1097
2	982 m^2	0.7622	soccer	pig	198	0.1864	321	420	Games and Playable Media	655	596	0.8962	0.7668	929
3	277 m^2	-0.0465	tennis	chicken	826	0.8849	946	526	Computer Engineering	577	965	1.539	0.0375	1289
1	408 m^2	0.7261	motor sports	ferret	883	0.3867	875	465	Robotics Engineering	740	665	1.026	1.1774	1223
5	603 m^2	1.0568	boxing	dog	574	0.8013	1392	673	Natural Language Processing	1067	929	0.8964	1.0633	696
2	703 m^2	0.7073	soccer	pig	495	1.1051	205	765	Games and Playable Media	1108	544	0.9833	1.8531	1101
5	563 m^2	1.1445	boxing	rabbit, dog	699	0.5876	1269	375	Electrical Engineering	895	N/A	0.8942	n/a	861
1	227 m^2	0.7236	motor sports	ferret	1372	1.3563	1322	538	Robotics Engineering	972	-528	0.7408	0.8628	1757
4	89 m^2	0.719	football	hamster	809	0.5337	1178	992	Human Computer Interaction	1102	1279	0.3968	1.2018	564
1	334 m^2	0.5944	motor sports	cat	710	0.4901	953	955	Biotechnology	953	311	1.1489	1.6891	1076
0	-24 m^2	0.1955	volleyball	ferret	455	0.5206	1457	1053	Bioinformatics	470	816	0.7952	1.3334	739
4	11 m^2	0.8041	track & field	fish	742	0.7136	1247	818	Electrical Engineering	1370	1020	0.9901	1.0073	252
1	437 m^2	0.7813	motor sports	cat	923	0.8451	1046	561	Biotechnology	893	492	0.9207	0.3578	765
0	585 m^2	-0.1945	volleyball	reptile	-323	0.6125	1223	533	Technology and Information Management	13	883	1.0498	1.3177	1131
5	309 m^2	1.0176	boxing	rabbit, rat	1242	0.6617	1085	-502	Bioengineering	1206	558	0.8479	0.7368	1448
2	388 m^2	0.4517	soccer	pig	681	1.1962	52	644	Data Science	1508	1188	0.6355	1.0304	901
5	475 m^2	0.9238	running	rat, rabbit	582	0.8365	1039	228	Natural Language Processing	1002	539	0.4791	0.5561	1018
0	1070 m^2	0.0196	volleyball	reptile	109	0.7542	1019	497	Technology and Information Management	214	889	1.2384	1.0934	1064
1	-53 m^2	0.4837	motor sports	dog, rat	644	0.6237	695	755	Biotechnology	716	248	0.8727	0.9547	744
4	679 m^2	0.9425	golf	hamster	915	0.4927	866	765	Human Computer Interaction	860	946	0.6627	1.1953	540
0	617 m^2	0.0424	badminton	reptile	289	0.8759	1582	449	Technology and Information Management	1108	826	1.2757	0.3265	1007
3	562 m^2	0.3148	tennis	fish	786	1.16	783	1135	Computer Game Design	482	986	1.4702	0.3341	447
2	1164 m^2	1.4313	soccer	pig	925	0.7686	310	1039	Data Science	1081	1202	1.035	0.0545	762
3	1250 m^2	0.2158	tennis	guinea pig	1080	0.5175	740	716	Computer Science	949	548	1.1254	0.0922	838
3	482 m^2	0.652	tennis	fish	851	0.5182	642	588	Computer Engineering	1243	849	1.1862	0.4925	989
0	579 m^2	0.5444	badminton	guinea pig	425	1.0953	926	249	tECHNOLOGY AND iNFORMATION mANAGEMENT	500	433	1.1628	0.7243	912
1	551 m^2	0.8595	motor sports	ferret	1032	1.6217	1111	401	Statistics	791	221	1.1752	0.9378	655
0	1066 m^2	0.3154	badminton	guinea pig	345	1.1809	663	343	Bioinformatics	NULL	896	0.9155	0.7825	960
5	1047 m^2	0.6186	football	dog, rat	1288	0.5927	791	11	Electrical Engineering	424	649	0.8938	0.4703	694
1	460 m^2	0.7878	motor sports	ferret	900	1.6169	1227	1231	Robotics Engineering	971		0.6436	1.0033	1295
1	-19 m^2	0.8855	motor sports	cat	880	0.9737	909	386	Biotechnology	717	491	1.1714	1.1669	910
1	539 m^2	1.119	motor sports	ferret	?	1.3122	929	897	Data Science	653	-103	1.0076	0.724	995
3	311 m^2	0.744	baseball	rat, dog	593	1.1075	767	493	Computer Engineering	701	1182	1.3922	-0.1518	1011
4	132 m^2	0.6005	track & field	hamster	748	0.6583	1181	588	Data Science	683	912	0.217	1.1223	60
2	1345 m^2	0.4423	soccer	bird	891	1.3247	449	760	Games and Playable Media	1129	1026	0.4627	1.1804	1242
2	1243 m^2	0.5986	soccer	pig	?	0.8951	346	823	Technology and Information Management	1309	742	1.1626	0.8803	502
2	320 m^2	1.1697	soccer	bird	860	0.7838	525	731	Data Science	883	808	1.2198	0.7989	933
4	79 m^2	0.6008	golf	hamster	952	0.9757	824	926	Human Computer Interaction	1164	755	0.1821	1.8452	600
0	686 m^2	0.1241	motor sports	reptile	401	1.4737	1379	708	Technology and Information Management	189	670	1.4515	0.589	927
2	1045 m^2	0.9024	SOCCER	pig	855	1.2319	558	977	Data Science	544	556	-0.0079	1.4901	686
5	775 m^2	1.19	boxing	rabbit, dog	697	0.4139	1455	535	Applied Mathematics	1122	980	0.9495	0.6556	1168
3	981 m^2	0.1441	tennis	chicken	1155	0.8014	566	908	Computer Science	1374	922	1.1278	0.2047	875
5	345 m^2	0.7084	football	dog	918	0.4236	1343	317	Bioengineering	1007	1275	0.4621	0.7034	1270
0	422 m^2	0.0587	volleyball	guinea pig	532	0.7105	833	307	Bioinformatics	584	217	0.6244	0.8369	1145
0	1037 m^2	0.3551	Volleyball	guinea pig	454	0.7249	1111	1084	Technology and Information Management	647	832	1.1373	1.0264	1521
